,timestamp,ent,type
29,2024-06-28,Collaborate,S_SKILL
29,2024-06-28,2.1,REQUIREMENT
29,2024-06-28,Bachelor's degree,REQUIREMENT
29,2024-06-28,Java,LANG_FRAM
29,2024-06-28,Automation testing,H_SKILL
29,2024-06-28,"Understanding of enterprise infrastructure and application components (network, application and database servers",H_SKILL
29,2024-06-28,storage,H_SKILL
29,2024-06-28,computing,H_SKILL
29,2024-06-28,Git,LANG_FRAM
29,2024-06-28,Bitbucket,LANG_FRAM
29,2024-06-28,SAP,LANG_FRAM
29,2024-06-28,API Automation,LANG_FRAM
29,2024-06-28,CI/CD,H_SKILL
29,2024-06-28,Jenkins,LANG_FRAM
29,2024-06-28,continuous integration testing,H_SKILL
29,2024-06-28,Azure,LANG_FRAM
29,2024-06-28,cloud,LANG_FRAM
29,2024-06-28,passion,S_SKILL
29,2024-06-28,continuously learning,S_SKILL
30,2024-06-28,DevOps,H_SKILL
30,2024-06-28,provide technology specific knowledge and skills within one of our project teams,H_SKILL
30,2024-06-28,project management decisions,S_SKILL
30,2024-06-28,demonstratable understanding,H_SKILL
30,2024-06-28,DevOps technologies,H_SKILL
30,2024-06-28,willingness to learn,S_SKILL
30,2024-06-28,solving attitude,S_SKILL
30,2024-06-28,collaborative,S_SKILL
30,2024-06-28,passionate,S_SKILL
30,2024-06-28,Terraform,LANG_FRAM
30,2024-06-28,Docker,LANG_FRAM
30,2024-06-28,Python,LANG_FRAM
30,2024-06-28,Ansible,LANG_FRAM
30,2024-06-28,Cloud,LANG_FRAM
30,2024-06-28,AWS,LANG_FRAM
31,2024-06-28,software and hardware design,H_SKILL
31,2024-06-28,"designing, testing, and validating hardware designs",H_SKILL
31,2024-06-28,OCaml,H_SKILL
31,2024-06-28,design and implementation of new FPGA applications,H_SKILL
31,2024-06-28,OCaml,H_SKILL
31,2024-06-28,"testing/integration, but you can also expect to work",H_SKILL
31,2024-06-28,OCaml,LANG_FRAM
31,2024-06-28,OCaml,LANG_FRAM
31,2024-06-28,software engineering,H_SKILL
31,2024-06-28,programmer,REQUIREMENT
31,2024-06-28,software programming language,H_SKILL
