,timestamp,ent,type
36,2024-06-28,SharePoint,LANG_FRAM
36,2024-06-28,SQL,LANG_FRAM
36,2024-06-28,Dataverse,LANG_FRAM
36,2024-06-28,Azure,LANG_FRAM
36,2024-06-28,building and developing solutions,H_SKILL
36,2024-06-28,Power Platform,LANG_FRAM
36,2024-06-28,code/no code solutions,H_SKILL
36,2024-06-28,Power Platform,LANG_FRAM
36,2024-06-28,Power Automate,LANG_FRAM
36,2024-06-28,Power Virtual,LANG_FRAM
36,2024-06-28,Power BI,LANG_FRAM
36,2024-06-28,ALM,LANG_FRAM
36,2024-06-28,Power Platform,LANG_FRAM
36,2024-06-28,Microsoft techs,LANG_FRAM
36,2024-06-28,SharePoint,LANG_FRAM
36,2024-06-28,SQL,LANG_FRAM
36,2024-06-28,Dataverse,LANG_FRAM
36,2024-06-28,Azure,LANG_FRAM
36,2024-06-28,Bachelor's degree,REQUIREMENT
36,2024-06-28,2.1,REQUIREMENT
36,2024-06-28,C#,LANG_FRAM
36,2024-06-28,JavaScript,LANG_FRAM
36,2024-06-28,React,LANG_FRAM
36,2024-06-28,problem,S_SKILL
36,2024-06-28,solving,S_SKILL
36,2024-06-28,analytical,S_SKILL
36,2024-06-28,communication,S_SKILL
36,2024-06-28,teamwork skills,S_SKILL
36,2024-06-28,mentoring,S_SKILL
37,2024-06-28,Enjoy problem,S_SKILL
37,2024-06-28,Work well,S_SKILL
37,2024-06-28,attention to detail,S_SKILL
37,2024-06-28,working in a process,S_SKILL
37,2024-06-28,driven way,S_SKILL
37,2024-06-28,building relationships,S_SKILL
37,2024-06-28,communicate,S_SKILL
37,2024-06-28,Java,LANG_FRAM
37,2024-06-28,passion,S_SKILL
38,2024-06-28,collaborate,S_SKILL
38,2024-06-28,systems analysis,H_SKILL
38,2024-06-28,deploying,H_SKILL
38,2024-06-28,Scottish,REQUIREMENT
38,2024-06-28,Scottish,REQUIREMENT
39,2024-06-28,collaborating,S_SKILL
40,2024-06-28,cloud,LANG_FRAM
40,2024-06-28,SharePoint,LANG_FRAM
40,2024-06-28,Power Platform,LANG_FRAM
40,2024-06-28,Microsoft Teams,LANG_FRAM
40,2024-06-28,Power Platform,LANG_FRAM
40,2024-06-28,Power Apps,LANG_FRAM
40,2024-06-28,Power Platform,LANG_FRAM
40,2024-06-28,Design and test Power Platform Solutions,H_SKILL
40,2024-06-28,Power Apps,LANG_FRAM
40,2024-06-28,Power Automate,LANG_FRAM
40,2024-06-28,Power Platform,LANG_FRAM
40,2024-06-28,Bachelor's degree,REQUIREMENT
40,2024-06-28,2.1,REQUIREMENT
40,2024-06-28,collaborate,S_SKILL
40,2024-06-28,communication skills,S_SKILL
40,2024-06-28,mentoring,S_SKILL
41,2024-06-28,Creating and implementing the mathematical models,H_SKILL
41,2024-06-28,Masters,REQUIREMENT
41,2024-06-28,PhD,REQUIREMENT
41,2024-06-28,C++,LANG_FRAM
41,2024-06-28,Python,LANG_FRAM
41,2024-06-28,Java,LANG_FRAM
41,2024-06-28,R,LANG_FRAM
41,2024-06-28,database experience,H_SKILL
41,2024-06-28,quantitative finance,S_SKILL
42,2024-06-28,McDermott,S_SKILL
42,2024-06-28,"Master’s, qualification",S_SKILL
42,2024-06-28,2:1,REQUIREMENT
42,2024-06-28,degree,REQUIREMENT
42,2024-06-28,solving,S_SKILL
42,2024-06-28,time data analytics,H_SKILL
43,2024-06-28,Linux,LANG_FRAM
43,2024-06-28,developing management tools,H_SKILL
43,2024-06-28,"Deployment automation, scalable configuration management",H_SKILL
43,2024-06-28,Bachelor's degree,REQUIREMENT
43,2024-06-28,managing/troubleshooting Linux,H_SKILL
43,2024-06-28,DevOps,H_SKILL
43,2024-06-28,systems programming,H_SKILL
43,2024-06-28,technical problems,H_SKILL
43,2024-06-28,Knowledgeable about operating system fundamentals,H_SKILL
43,2024-06-28,Linux,LANG_FRAM
43,2024-06-28,Unix,LANG_FRAM
43,2024-06-28,shell,LANG_FRAM
43,2024-06-28,understanding of network protocols,H_SKILL
43,2024-06-28,experience with modern,H_SKILL
43,2024-06-28,Linux,LANG_FRAM
43,2024-06-28,systems programming concepts,H_SKILL
43,2024-06-28,C,LANG_FRAM
43,2024-06-28,Intermediate/advanced,H_SKILL
43,2024-06-28,advanced programming,H_SKILL
44,2024-06-28,communication skills,S_SKILL
44,2024-06-28,degree,REQUIREMENT
45,2024-06-28,presenting,S_SKILL
45,2024-06-28,communication skills,S_SKILL
45,2024-06-28,2:1,LANG_FRAM
45,2024-06-28,degree,REQUIREMENT
46,2024-06-28,communication skills,S_SKILL
46,2024-06-28,2:1,REQUIREMENT
46,2024-06-28,degree,REQUIREMENT
47,2024-06-28,cloud,LANG_FRAM
47,2024-06-28,SharePoint,LANG_FRAM
47,2024-06-28,Power Platform,LANG_FRAM
47,2024-06-28,Microsoft Teams,LANG_FRAM
47,2024-06-28,Microsoft,REQUIREMENT
47,2024-06-28,establishing client needs,H_SKILL
47,2024-06-28,developing,H_SKILL
47,2024-06-28,deep understanding,H_SKILL
47,2024-06-28,SharePoint,LANG_FRAM
47,2024-06-28,SharePoint,LANG_FRAM
47,2024-06-28,Bachelor's degree,REQUIREMENT
47,2024-06-28,2.1,REQUIREMENT
47,2024-06-28,collaborate,S_SKILL
47,2024-06-28,communication skills,S_SKILL
47,2024-06-28,passion,S_SKILL
47,2024-06-28,mentoring,S_SKILL
48,2024-06-28,solve complex problems,S_SKILL
48,2024-06-28,collaborate,S_SKILL
48,2024-06-28,Splunk,LANG_FRAM
48,2024-06-28,Cribl,LANG_FRAM
48,2024-06-28,proactive,S_SKILL
48,2024-06-28,problem,S_SKILL
