,ent,type
477,degree,REQUIREMENT
478,2:1,REQUIREMENT
479,Microsoft 365,LANG_FRAM
480,Power BI,LANG_FRAM
481,Power Automate,LANG_FRAM
482,Python,LANG_FRAM
483,JavaScript,LANG_FRAM
484,CSS,LANG_FRAM
485,HTML,LANG_FRAM
486,JSON,LANG_FRAM
487,REST,LANG_FRAM
488,APIs,LANG_FRAM
489,Microsoft certifications,LANG_FRAM
490,Microsoft 365,LANG_FRAM
491,Power Platform,LANG_FRAM
492,Microsoft Azure,LANG_FRAM
493,IT management,H_SKILL
494,network infrastructure,H_SKILL
495,software systems,H_SKILL
496,understanding of data security and emerging technologies,H_SKILL
497,leadership,S_SKILL
498,problem,S_SKILL
499,solving,S_SKILL
500,project management,S_SKILL
501,communicate effectively,S_SKILL
502,Bachelor's degree,REQUIREMENT
503,supporting the service team,S_SKILL
504,Java,LANG_FRAM
505,AWS,LANG_FRAM
506,Jira,LANG_FRAM
507,degree,REQUIREMENT
508,"hunger to develop, learn",S_SKILL
509,attention to detail,S_SKILL
510,analytical skills,S_SKILL
511,passion,S_SKILL
512,problem solving,S_SKILL
513,curiosity,S_SKILL
514,drive to find appropriate solutions,S_SKILL
515,passionate,S_SKILL
516,working on new solutions,H_SKILL
517,problem solving,S_SKILL
518,Portaltech,S_SKILL
519,SAP,LANG_FRAM
520,Portaltech,S_SKILL
521,SAP core,LANG_FRAM
522,Java,LANG_FRAM
523,Selenium,LANG_FRAM
524,Cucumber,LANG_FRAM
525,BDD (behaviour-driven development,LANG_FRAM
526,Collaborate,S_SKILL
527,testing,H_SKILL
528,2.1,REQUIREMENT
529,Bachelor's degree,REQUIREMENT
530,Java,LANG_FRAM
531,"Understanding of enterprise infrastructure and application components (network, application and database servers, storage, computing, etc.)",H_SKILL
532,Git,LANG_FRAM
533,Bitbucket,LANG_FRAM
534,SAP,LANG_FRAM
535,API Automation,LANG_FRAM
536,CI/CD,H_SKILL
537,Jenkins,LANG_FRAM
538,Azure,LANG_FRAM
539,cloud,LANG_FRAM
540,passion,S_SKILL
541,continuously learning,S_SKILL
542,DevOps,H_SKILL
543,learning new technologies,S_SKILL
544,DevOps,H_SKILL
545,willingness to learn,S_SKILL
546,solving,S_SKILL
547,collaborative,S_SKILL
548,passionate,S_SKILL
549,Terraform,LANG_FRAM
550,Docker,LANG_FRAM
551,Python,LANG_FRAM
552,Cloud,LANG_FRAM
553,AWS,LANG_FRAM
554,"designing, testing, and validating hardware designs",H_SKILL
555,OCaml specifically,LANG_FRAM
556,OCaml,LANG_FRAM
557,design,H_SKILL
558,software engineering,H_SKILL
559,software programming language,H_SKILL
560,curious,S_SKILL
561,collaborative,S_SKILL
562,eager to learn,S_SKILL
563,unafraid,S_SKILL
564,working with FPGA vendor tools,H_SKILL
565,Vivado,LANG_FRAM
566,Quartus,LANG_FRAM
567,provide a safe and secure environment,H_SKILL
568,Java,LANG_FRAM
569,C++,LANG_FRAM
570,Swift,LANG_FRAM
571,Python,LANG_FRAM
572,machine-,LANG_FRAM
573,2:1,REQUIREMENT
574,degree,REQUIREMENT
575,transparency,S_SKILL
576,ambition,S_SKILL
577,curious,S_SKILL
578,collaborative,S_SKILL
579,develop a variety of skills,H_SKILL
580,collaborating,S_SKILL
581,portfolio,REQUIREMENT
582,motivated,S_SKILL
583,customer mindset,S_SKILL
584,problem solving,S_SKILL
585,attention to detail,S_SKILL
586,communication,S_SKILL
587,Bachelor's Degree,REQUIREMENT
588,"Managing, maintaining and upgrading enterprise server",H_SKILL
589,OS,LANG_FRAM
590,iOS,LANG_FRAM
591,MacOS,LANG_FRAM
592,Android,LANG_FRAM
593,Administering Microsoft,LANG_FRAM
594,network troubleshooting,H_SKILL
595,resolving problems and issues,S_SKILL
596,passion,S_SKILL
597,2:1,REQUIREMENT
598,degree,REQUIREMENT
599,passionate,S_SKILL
600,Reporting to the Team Leader,H_SKILL
601,data analysis,H_SKILL
602,Bachelor,REQUIREMENT
603,degree,REQUIREMENT
604,VB.NET,LANG_FRAM
605,C#,LANG_FRAM
606,C++,LANG_FRAM
607,analytical,S_SKILL
608,problem,S_SKILL
609,solving,S_SKILL
610,oral and written communication,S_SKILL
611,understanding of scripting/coding,H_SKILL
612,analysis,H_SKILL
613,interest in pipeline or process simulation,H_SKILL
614,cloud,LANG_FRAM
615,Office,REQUIREMENT
616,SharePoint,LANG_FRAM
617,Power Platform,LANG_FRAM
618,Microsoft Teams,LANG_FRAM
619,Power Platform,LANG_FRAM
620,Power Automate,LANG_FRAM
621,Power Virtual,LANG_FRAM
622,Microsoft technologies,LANG_FRAM
623,SharePoint,LANG_FRAM
624,SQL,LANG_FRAM
625,Dataverse,LANG_FRAM
626,Azure,LANG_FRAM
627,Participate in full development lifecycles,H_SKILL
628,Power Automate,LANG_FRAM
629,Power Virtual,LANG_FRAM
630,Power BI,LANG_FRAM
631,SharePoint,LANG_FRAM
632,SQL,LANG_FRAM
633,Dataverse,LANG_FRAM
634,Azure,LANG_FRAM
635,Bachelor's degree,REQUIREMENT
636,2.1,LANG_FRAM
637,C#,LANG_FRAM
638,JavaScript,LANG_FRAM
639,React,LANG_FRAM
640,problem,S_SKILL
641,solving,S_SKILL
642,analytical,S_SKILL
643,communication,S_SKILL
644,teamwork,S_SKILL
645,motivated,S_SKILL
646,problem-solving,S_SKILL
